
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:7              0.0.0.0:0              LISTENING       7188
  TCP    0.0.0.0:9              0.0.0.0:0              LISTENING       7188
  TCP    0.0.0.0:13             0.0.0.0:0              LISTENING       7188
  TCP    0.0.0.0:17             0.0.0.0:0              LISTENING       7188
  TCP    0.0.0.0:19             0.0.0.0:0              LISTENING       7188
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1560
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3036
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       8360
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1812
  TCP    0.0.0.0:4323           0.0.0.0:0              LISTENING       6384
  TCP    0.0.0.0:4325           0.0.0.0:0              LISTENING       1240
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       7844
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       4156
  TCP    0.0.0.0:8733           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       15364
  TCP    0.0.0.0:28252          0.0.0.0:0              LISTENING       7256
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       8360
  TCP    0.0.0.0:45769          0.0.0.0:0              LISTENING       2032
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1272
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       112
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1340
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2636
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3580
  TCP    127.0.0.1:1001         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:2013         0.0.0.0:0              LISTENING       22048
  TCP    127.0.0.1:3213         0.0.0.0:0              LISTENING       7460
  TCP    127.0.0.1:3640         127.0.0.1:5354         ESTABLISHED     6992
  TCP    127.0.0.1:3651         127.0.0.1:5354         ESTABLISHED     6992
  TCP    127.0.0.1:3659         127.0.0.1:3661         ESTABLISHED     8360
  TCP    127.0.0.1:3661         127.0.0.1:3659         ESTABLISHED     8360
  TCP    127.0.0.1:4000         0.0.0.0:0              LISTENING       7144
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       23572
  TCP    127.0.0.1:4799         0.0.0.0:0              LISTENING       6344
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       7008
  TCP    127.0.0.1:5354         127.0.0.1:3640         ESTABLISHED     7008
  TCP    127.0.0.1:5354         127.0.0.1:3651         ESTABLISHED     7008
  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING       25472
  TCP    127.0.0.1:7034         0.0.0.0:0              LISTENING       12080
  TCP    127.0.0.1:7093         0.0.0.0:0              LISTENING       20416
  TCP    127.0.0.1:7245         0.0.0.0:0              LISTENING       27156
  TCP    127.0.0.1:7415         0.0.0.0:0              LISTENING       8144
  TCP    127.0.0.1:10080        127.0.0.1:12776        TIME_WAIT       0
  TCP    127.0.0.1:10080        127.0.0.1:13015        TIME_WAIT       0
  TCP    127.0.0.1:11330        127.0.0.1:27017        ESTABLISHED     6976
  TCP    127.0.0.1:11542        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11543        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11544        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11545        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11546        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11554        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11566        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11567        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11568        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11569        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11570        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:11571        127.0.0.1:27017        ESTABLISHED     23328
  TCP    127.0.0.1:12458        127.0.0.1:10080        TIME_WAIT       0
  TCP    127.0.0.1:12472        127.0.0.1:10080        TIME_WAIT       0
  TCP    127.0.0.1:12772        127.0.0.1:10080        TIME_WAIT       0
  TCP    127.0.0.1:12797        127.0.0.1:10080        TIME_WAIT       0
  TCP    127.0.0.1:12814        127.0.0.1:10080        TIME_WAIT       0
  TCP    127.0.0.1:12823        127.0.0.1:10080        TIME_WAIT       0
  TCP    127.0.0.1:12964        127.0.0.1:46624        TIME_WAIT       0
  TCP    127.0.0.1:12997        127.0.0.1:10080        TIME_WAIT       0
  TCP    127.0.0.1:13202        127.0.0.1:9229         SYN_SENT        1440
  TCP    127.0.0.1:16301        0.0.0.0:0              LISTENING       21100
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       6992
  TCP    127.0.0.1:27017        0.0.0.0:0              LISTENING       7240
  TCP    127.0.0.1:27017        127.0.0.1:11330        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11542        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11543        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11544        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11545        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11546        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11554        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11566        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11567        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11568        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11569        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11570        ESTABLISHED     7240
  TCP    127.0.0.1:27017        127.0.0.1:11571        ESTABLISHED     7240
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       15364
  TCP    127.0.0.1:46624        0.0.0.0:0              LISTENING       23516
  TCP    127.0.0.1:52052        0.0.0.0:0              LISTENING       2796
  TCP    172.21.32.1:139        0.0.0.0:0              LISTENING       4
  TCP    172.21.32.1:6917       172.21.40.96:35979     ESTABLISHED     9364
  TCP    172.21.32.1:6924       172.21.40.96:35979     ESTABLISHED     9364
  TCP    172.31.112.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.31.33:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.31.33:4672     52.139.250.253:443     ESTABLISHED     6600
  TCP    192.168.31.33:5154     52.139.250.253:443     ESTABLISHED     21748
  TCP    192.168.31.33:7005     120.241.186.232:443    CLOSE_WAIT      23572
  TCP    192.168.31.33:7096     120.241.186.232:443    CLOSE_WAIT      23572
  TCP    192.168.31.33:7097     120.241.186.232:443    CLOSE_WAIT      23572
  TCP    192.168.31.33:7098     120.241.186.232:443    CLOSE_WAIT      23572
  TCP    192.168.31.33:7244     182.254.78.105:443     CLOSE_WAIT      23572
